,season,award,player,age,tm,first,pts_won,pts_max,share,winner,seas_id,player_id
1070,2010,dpoy,Dwight Howard,24,ORL,110.0,576.0,610.0,0.944,True,22328,3520
1094,2010,mip,Aaron Brooks,25,HOU,62.0,403.0,615.0,0.655,True,22157,3731
1124,2010,nba mvp,LeBron James,25,CLE,116.0,1205.0,1230.0,0.98,True,22500,3462
1139,2010,nba roy,Tyreke Evans,20,SAC,67.0,491.0,615.0,0.798,True,22713,3912
1145,2010,smoy,Jamal Crawford,29,ATL,110.0,580.0,610.0,0.951,True,22391,3258
1159,2009,dpoy,Dwight Howard,23,ORL,105.0,542.0,595.0,0.911,True,21759,3520
1180,2009,mip,Danny Granger,25,IND,48.0,364.0,605.0,0.602,True,21718,3589
1214,2009,nba mvp,LeBron James,24,CLE,109.0,1172.0,1210.0,0.969,True,21909,3462
1226,2009,nba roy,Derrick Rose,20,CHI,111.0,574.0,600.0,0.957,True,21737,3812
1239,2009,smoy,Jason Terry,31,DAL,111.0,576.0,605.0,0.952,True,21831,3194
1259,2008,dpoy,Kevin Garnett,31,BOS,90.0,493.0,620.0,0.795,True,21291,2936
1279,2008,mip,Hedo Türkoğlu,28,ORL,61.0,380.0,625.0,0.608,True,21195,3252
1310,2008,nba mvp,Kobe Bryant,29,LAL,82.0,1100.0,1260.0,0.873,True,21299,3000
1327,2008,nba roy,Kevin Durant,19,SEA,90.0,545.0,625.0,0.872,True,21290,3770
1336,2008,smoy,Manu Ginóbili,30,SAS,123.0,615.0,620.0,0.992,True,21344,3401
1354,2007,dpoy,Marcus Camby,32,DEN,70.0,431.0,650.0,0.663,True,20786,3004
1383,2007,mip,Monta Ellis,21,GSW,47.0,352.0,645.0,0.546,True,20828,3627
1412,2007,nba mvp,Dirk Nowitzki,28,DAL,83.0,1138.0,1290.0,0.882,True,20603,3116
1429,2007,nba roy,Brandon Roy,22,POR,127.0,638.0,640.0,0.997,True,20526,3658
1441,2007,smoy,Leandro Barbosa,24,PHO,101.0,578.0,635.0,0.91,True,20760,3463
1455,2006,dpoy,Ben Wallace,31,DET,58.0,420.0,620.0,0.677,True,19951,2971
1475,2006,mip,Boris Diaw,23,PHO,80.0,489.0,630.0,0.776,True,19960,3431
1506,2006,nba mvp,Steve Nash,31,PHO,57.0,924.0,1250.0,0.739,True,20402,3028
1517,2006,nba roy,Chris Paul,20,NOK,124.0,623.0,625.0,0.997,True,20001,3585
1526,2006,smoy,Mike Miller,25,MEM,88.0,501.0,615.0,0.815,True,20282,3276
1548,2005,dpoy,Ben Wallace,30,DET,45.0,339.0,625.0,0.542,True,19367,2971
1573,2005,mip,Bobby Simmons,24,LAC,59.0,384.0,615.0,0.624,True,19374,3301
1609,2005,nba mvp,Steve Nash,30,PHO,65.0,1066.0,1270.0,0.839,True,19832,3028
1625,2005,nba roy,Emeka Okafor,22,CHA,77.0,514.0,630.0,0.816,True,19508,3521
1631,2005,smoy,Ben Gordon,21,CHI,88.0,513.0,625.0,0.821,True,19365,3505
1645,2004,dpoy,Metta World Peace,24,IND,80.0,476.0,605.0,0.787,True,19099,3205
1658,2004,mip,Zach Randolph,22,POR,59.0,379.0,605.0,0.626,True,19306,3362
1689,2004,nba mvp,Kevin Garnett,27,MIN,120.0,1219.0,1230.0,0.991,True,19036,2936
1705,2004,nba roy,LeBron James,19,CLE,78.0,508.0,590.0,0.861,True,19051,3462
1711,2004,smoy,Antawn Jamison,27,DAL,43.0,338.0,600.0,0.563,True,18751,3104
1727,2003,dpoy,Ben Wallace,28,DET,100.0,531.0,585.0,0.908,True,18288,2971
1742,2003,mip,Gilbert Arenas,21,GSW,41.0,288.0,590.0,0.488,True,18420,3317
1773,2003,nba mvp,Tim Duncan,26,SAS,60.0,962.0,1190.0,0.808,True,18688,3092
1786,2003,nba roy,Amar'e Stoudemire,20,PHO,59.0,458.0,585.0,0.783,True,18262,3366
1793,2003,smoy,Bobby Jackson,29,SAC,52.0,362.0,590.0,0.614,True,18294,3041
1806,2002,dpoy,Ben Wallace,27,DET,116.0,116.0,120.0,0.967,True,17783,2971
1810,2002,mip,Jermaine O'Neal,23,IND,52.0,52.0,126.0,0.413,True,17982,2993
1831,2002,nba mvp,Tim Duncan,25,SAS,57.0,954.0,1260.0,0.757,True,18196,3092
1849,2002,nba roy,Pau Gasol,21,MEM,117.0,117.0,126.0,0.929,True,18110,3341
1854,2002,smoy,Corliss Williamson,28,DET,56.0,56.0,125.0,0.448,True,17842,2908
1864,2001,dpoy,Dikembe Mutombo,34,TOT,48.0,48.0,123.0,0.39,True,17363,2648
1878,2001,mip,Tracy McGrady,21,ORL,74.0,74.0,124.0,0.597,True,17709,3096
1892,2001,nba mvp,Allen Iverson,25,PHI,93.0,1121.0,1240.0,0.904,True,17220,2967
1909,2001,nba roy,Mike Miller,20,ORL,75.0,75.0,124.0,0.605,True,17575,3276
1914,2001,smoy,Aaron McKie,28,PHI,57.0,57.0,124.0,0.46,True,17212,2832
1925,2000,dpoy,Alonzo Mourning,29,MIA,62.0,62.0,121.0,0.512,True,16726,2696
1938,2000,mip,Jalen Rose,27,IND,32.0,32.0,121.0,0.264,True,16939,2867
1953,2000,nba mvp,Shaquille O'Neal,27,LAL,120.0,1207.0,1210.0,0.998,True,17142,2751
1969,2000,nba roy,Elton Brand,20,CHI,58.0,58.0,121.0,0.479,True,16891,3186
1970,2000,nba roy,Steve Francis,22,HOU,58.0,58.0,121.0,0.479,True,17151,3219
1973,2000,smoy,Rodney Rogers,28,PHO,104.0,104.0,121.0,0.86,True,17111,2821
1980,1999,dpoy,Alonzo Mourning,28,MIA,89.0,89.0,118.0,0.754,True,16217,2696
1992,1999,mip,Darrell Armstrong,30,ORL,54.0,54.0,118.0,0.458,True,16338,2846
2010,1999,nba mvp,Karl Malone,35,UTA,44.0,827.0,1180.0,0.701,True,16488,2252
2031,1999,nba roy,Vince Carter,22,TOR,113.0,113.0,118.0,0.958,True,16697,3166
2034,1999,smoy,Darrell Armstrong,30,ORL,85.0,85.0,118.0,0.72,True,16338,2846
2042,1998,dpoy,Dikembe Mutombo,31,ATL,39.0,39.0,116.0,0.336,True,15842,2648
2056,1998,mip,Alan Henderson,25,ATL,33.0,33.0,116.0,0.284,True,15668,2892
2072,1998,nba mvp,Michael Jordan,34,CHI,92.0,1084.0,1160.0,0.934,True,16041,2193
2091,1998,nba roy,Tim Duncan,21,SAS,113.0,113.0,116.0,0.974,True,16152,3092
2093,1998,smoy,Danny Manning,31,PHO,57.0,57.0,116.0,0.491,True,15806,2417
2100,1997,dpoy,Dikembe Mutombo,30,ATL,60.0,60.0,115.0,0.522,True,15239,2648
2110,1997,mip,Isaac Austin,27,MIA,41.0,41.0,115.0,0.357,True,15336,2656
2125,1997,nba mvp,Karl Malone,33,UTA,63.0,986.0,1150.0,0.857,True,15398,2252
2145,1997,nba roy,Allen Iverson,21,PHI,44.0,44.0,115.0,0.383,True,15105,2967
2150,1997,smoy,John Starks,31,NYK,84.0,84.0,115.0,0.73,True,15391,2438
2161,1996,dpoy,Gary Payton,27,SEA,56.0,56.0,113.0,0.496,True,14747,2585
2171,1996,mip,Gheorghe Mureșan,24,WSB,50.0,50.0,113.0,0.442,True,14759,2797
