,player,team,lg,season,replaced
963,Jeff Malone,East,NBA,1986,False
964,Moses Malone,East,NBA,1986,False
965,Kevin McHale,East,NBA,1986,False
966,Sidney Moncrief,East,NBA,1986,False
967,Robert Parish,East,NBA,1986,False
968,Isiah Thomas,East,NBA,1986,False
969,Dominique Wilkins,East,NBA,1986,False
970,Buck Williams,East,NBA,1986,False
971,Kareem Abdul-Jabbar,West,NBA,1986,False
972,Rolando Blackman,West,NBA,1986,False
973,Adrian Dantley,West,NBA,1986,False
974,Clyde Drexler,West,NBA,1986,False
975,Alex English,West,NBA,1986,False
976,Artis Gilmore,West,NBA,1986,False
977,Marques Johnson,West,NBA,1986,False
978,Magic Johnson,West,NBA,1986,False
979,Hakeem Olajuwon,West,NBA,1986,False
980,Alvin Robertson,West,NBA,1986,False
981,Ralph Sampson,West,NBA,1986,False
982,James Worthy,West,NBA,1986,False
983,Larry Bird,East,NBA,1985,False
984,Terry Cummings,East,NBA,1985,False
985,Julius Erving,East,NBA,1985,False
986,Dennis Johnson,East,NBA,1985,False
987,Michael Jordan,East,NBA,1985,False
988,Bernard King,East,NBA,1985,False
989,Bill Laimbeer,East,NBA,1985,False
990,Moses Malone,East,NBA,1985,False
991,Sidney Moncrief,East,NBA,1985,False
992,Robert Parish,East,NBA,1985,False
993,Micheal Ray Richardson,East,NBA,1985,False
994,Jeff Ruland,East,NBA,1985,True
995,Isiah Thomas,East,NBA,1985,False
996,Kareem Abdul-Jabbar,West,NBA,1985,False
997,Rolando Blackman,West,NBA,1985,False
998,Adrian Dantley,West,NBA,1985,False
999,Alex English,West,NBA,1985,False
1000,George Gervin,West,NBA,1985,False
1001,Magic Johnson,West,NBA,1985,False
1002,Larry Nance,West,NBA,1985,False
1003,Calvin Natt,West,NBA,1985,False
1004,Norm Nixon,West,NBA,1985,False
1005,Hakeem Olajuwon,West,NBA,1985,False
1006,Ralph Sampson,West,NBA,1985,False
1007,Jack Sikma,West,NBA,1985,False
1008,Larry Bird,East,NBA,1984,False
1009,Otis Birdsong,East,NBA,1984,False
1010,Julius Erving,East,NBA,1984,False
1011,Bernard King,East,NBA,1984,False
1012,Bill Laimbeer,East,NBA,1984,False
1013,Moses Malone,East,NBA,1984,True
1014,Kevin McHale,East,NBA,1984,False
1015,Sidney Moncrief,East,NBA,1984,False
1016,Robert Parish,East,NBA,1984,False
1017,Jeff Ruland,East,NBA,1984,False
1018,Isiah Thomas,East,NBA,1984,False
1019,Andrew Toney,East,NBA,1984,False
1020,Kelly Tripucka,East,NBA,1984,False
1021,Kareem Abdul-Jabbar,West,NBA,1984,False
1022,Mark Aguirre,West,NBA,1984,False
1023,Adrian Dantley,West,NBA,1984,False
1024,Walter Davis,West,NBA,1984,False
1025,Alex English,West,NBA,1984,False
1026,George Gervin,West,NBA,1984,False
1027,Rickey Green,West,NBA,1984,False
1028,Magic Johnson,West,NBA,1984,False
1029,Jim Paxson,West,NBA,1984,False
1030,Ralph Sampson,West,NBA,1984,False
1031,Jack Sikma,West,NBA,1984,False
1032,Kiki Vandeweghe,West,NBA,1984,False
1033,Larry Bird,East,NBA,1983,False
1034,Maurice Cheeks,East,NBA,1983,False
1035,Julius Erving,East,NBA,1983,False
1036,Marques Johnson,East,NBA,1983,False
1037,Bill Laimbeer,East,NBA,1983,False
1038,Moses Malone,East,NBA,1983,False
1039,Sidney Moncrief,East,NBA,1983,False
1040,Robert Parish,East,NBA,1983,False
1041,Reggie Theus,East,NBA,1983,False
1042,Isiah Thomas,East,NBA,1983,False
1043,Andrew Toney,East,NBA,1983,False
1044,Buck Williams,East,NBA,1983,False
1045,Kareem Abdul-Jabbar,West,NBA,1983,False
1046,Alex English,West,NBA,1983,False
1047,George Gervin,West,NBA,1983,False
1048,Artis Gilmore,West,NBA,1983,False
1049,Magic Johnson,West,NBA,1983,False
1050,Maurice Lucas,West,NBA,1983,False
1051,Jim Paxson,West,NBA,1983,False
1052,Jack Sikma,West,NBA,1983,False
1053,David Thompson,West,NBA,1983,False
1054,Kiki Vandeweghe,West,NBA,1983,False
1055,Jamaal Wilkes,West,NBA,1983,False
1056,Gus Williams,West,NBA,1983,False
1057,Tiny Archibald,East,NBA,1982,False
1058,Larry Bird,East,NBA,1982,False
1059,Julius Erving,East,NBA,1982,False
1060,Artis Gilmore,East,NBA,1982,False
1061,Bobby Jones,East,NBA,1982,False
1062,Bob Lanier,East,NBA,1982,False
1063,Sidney Moncrief,East,NBA,1982,False
1064,Robert Parish,East,NBA,1982,False
1065,Micheal Ray Richardson,East,NBA,1982,False
1066,Dan Roundfield,East,NBA,1982,True
1067,Isiah Thomas,East,NBA,1982,False
1068,Kelly Tripucka,East,NBA,1982,False
1069,Buck Williams,East,NBA,1982,False
1070,Kareem Abdul-Jabbar,West,NBA,1982,False
1071,Adrian Dantley,West,NBA,1982,False
1072,Alex English,West,NBA,1982,False
1073,George Gervin,West,NBA,1982,False
1074,Dennis Johnson,West,NBA,1982,False
1075,Magic Johnson,West,NBA,1982,False
1076,Bernard King,West,NBA,1982,False
1077,Moses Malone,West,NBA,1982,False
1078,Norm Nixon,West,NBA,1982,False
1079,Lonnie Shelton,West,NBA,1982,False
1080,Jack Sikma,West,NBA,1982,False
1081,Gus Williams,West,NBA,1982,False
1082,Tiny Archibald,East,NBA,1981,False
1083,Larry Bird,East,NBA,1981,False
1084,Julius Erving,East,NBA,1981,False
1085,Artis Gilmore,East,NBA,1981,False
1086,Eddie Johnson,East,NBA,1981,False
1087,Marques Johnson,East,NBA,1981,False
1088,Bobby Jones,East,NBA,1981,False
1089,Mike Mitchell,East,NBA,1981,False
1090,Robert Parish,East,NBA,1981,False
1091,Micheal Ray Richardson,East,NBA,1981,False
1092,Dan Roundfield,East,NBA,1981,True
1093,Reggie Theus,East,NBA,1981,False
1094,Kareem Abdul-Jabbar,West,NBA,1981,False
1095,Otis Birdsong,West,NBA,1981,False
1096,Adrian Dantley,West,NBA,1981,False
1097,Walter Davis,West,NBA,1981,False
1098,George Gervin,West,NBA,1981,False
1099,Dennis Johnson,West,NBA,1981,False
1100,Moses Malone,West,NBA,1981,False
1101,Truck Robinson,West,NBA,1981,False
1102,Jack Sikma,West,NBA,1981,False
1103,Paul Westphal,West,NBA,1981,False
1104,Jamaal Wilkes,West,NBA,1981,False
1105,Tiny Archibald,East,NBA,1980,False
1106,Larry Bird,East,NBA,1980,False
1107,Bill Cartwright,East,NBA,1980,False
1108,Dave Cowens,East,NBA,1980,True
1109,John Drew,East,NBA,1980,False
1110,Julius Erving,East,NBA,1980,False
1111,George Gervin,East,NBA,1980,False
1112,Elvin Hayes,East,NBA,1980,False
1113,Eddie Johnson,East,NBA,1980,False
1114,Moses Malone,East,NBA,1980,False
1115,Micheal Ray Richardson,East,NBA,1980,False
1116,Dan Roundfield,East,NBA,1980,False
1117,Kareem Abdul-Jabbar,West,NBA,1980,False
1118,Otis Birdsong,West,NBA,1980,False
1119,Adrian Dantley,West,NBA,1980,False
1120,Walter Davis,West,NBA,1980,False
1121,World B. Free,West,NBA,1980,False
1122,Dennis Johnson,West,NBA,1980,False
1123,Marques Johnson,West,NBA,1980,False
1124,Magic Johnson,West,NBA,1980,False
1125,Jack Sikma,West,NBA,1980,False
1126,Kermit Washington,West,NBA,1980,False
1127,Scott Wedman,West,NBA,1980,True
1128,Paul Westphal,West,NBA,1980,False
1129,Doug Collins,East,NBA,1979,True
1130,Bob Dandridge,East,NBA,1979,False
1131,Julius Erving,East,NBA,1979,False
1132,George Gervin,East,NBA,1979,False
1133,Elvin Hayes,East,NBA,1979,False
1134,Larry Kenon,East,NBA,1979,False
1135,Bob Lanier,East,NBA,1979,False
1136,Moses Malone,East,NBA,1979,False
1137,Pete Maravich,East,NBA,1979,False
1138,Calvin Murphy,East,NBA,1979,False
1139,Campy Russell,East,NBA,1979,False
1140,Rudy Tomjanovich,East,NBA,1979,False
1141,Kareem Abdul-Jabbar,West,NBA,1979,False
1142,Otis Birdsong,West,NBA,1979,False
1143,Walter Davis,West,NBA,1979,False
1144,Artis Gilmore,West,NBA,1979,False
1145,Dennis Johnson,West,NBA,1979,False
1146,Marques Johnson,West,NBA,1979,False
1147,Maurice Lucas,West,NBA,1979,False
1148,George McGinnis,West,NBA,1979,False
1149,Jack Sikma,West,NBA,1979,False
1150,David Thompson,West,NBA,1979,False
1151,Paul Westphal,West,NBA,1979,False
1152,Doug Collins,East,NBA,1978,False
1153,Dave Cowens,East,NBA,1978,False
1154,Julius Erving,East,NBA,1978,False
1155,George Gervin,East,NBA,1978,False
1156,John Havlicek,East,NBA,1978,False
1157,Elvin Hayes,East,NBA,1978,False
1158,Larry Kenon,East,NBA,1978,False
1159,Billy Knight,East,NBA,1978,True
1160,Moses Malone,East,NBA,1978,False
1161,Pete Maravich,East,NBA,1978,True
1162,Bob McAdoo,East,NBA,1978,False
1163,Truck Robinson,East,NBA,1978,False
1164,Randy Smith,East,NBA,1978,False
1165,Rick Barry,West,NBA,1978,False
1166,Walter Davis,West,NBA,1978,False
1167,Artis Gilmore,West,NBA,1978,False
1168,Lionel Hollins,West,NBA,1978,False
1169,Bobby Jones,West,NBA,1978,False
1170,Bob Lanier,West,NBA,1978,False
1171,Maurice Lucas,West,NBA,1978,False
1172,David Thompson,West,NBA,1978,False
1173,Bill Walton,West,NBA,1978,False
1174,Paul Westphal,West,NBA,1978,False
1175,Brian Winters,West,NBA,1978,False
1176,Phil Chenier,East,NBA,1977,False
1177,Doug Collins,East,NBA,1977,False
1178,Dave Cowens,East,NBA,1977,True
1179,Julius Erving,East,NBA,1977,False
1180,George Gervin,East,NBA,1977,False
1181,John Havlicek,East,NBA,1977,False
1182,Elvin Hayes,East,NBA,1977,False
1183,Pete Maravich,East,NBA,1977,False
1184,Bob McAdoo,East,NBA,1977,False
1185,George McGinnis,East,NBA,1977,False
1186,Earl Monroe,East,NBA,1977,False
1187,Rudy Tomjanovich,East,NBA,1977,False
1188,Jo Jo White,East,NBA,1977,False
1189,Kareem Abdul-Jabbar,West,NBA,1977,False
1190,Rick Barry,West,NBA,1977,False
1191,Don Buse,West,NBA,1977,False
1192,Dan Issel,West,NBA,1977,False
1193,Bobby Jones,West,NBA,1977,False
1194,Billy Knight,West,NBA,1977,False
1195,Bob Lanier,West,NBA,1977,False
1196,Maurice Lucas,West,NBA,1977,False
1197,Phil Smith,West,NBA,1977,False
1198,David Thompson,West,NBA,1977,False
1199,Norm Van Lier,West,NBA,1977,False
1200,Bill Walton,West,NBA,1977,True
1201,Paul Westphal,West,NBA,1977,False
1202,Marvin Barnes,All Stars,ABA,1976,False
1203,Ron Boone,All Stars,ABA,1976,False
1204,Don Buse,All Stars,ABA,1976,False
1205,Julius Erving,All Stars,ABA,1976,False
1206,George Gervin,All Stars,ABA,1976,False
1207,Artis Gilmore,All Stars,ABA,1976,False
1208,Larry Kenon,All Stars,ABA,1976,False
1209,Billy Knight,All Stars,ABA,1976,False
1210,Maurice Lucas,All Stars,ABA,1976,False
1211,Billy Paultz,All Stars,ABA,1976,False
1212,James Silas,All Stars,ABA,1976,False
1213,Brian Taylor,All Stars,ABA,1976,False
1214,Byron Beck,Denver,ABA,1976,False
1215,Roger Brown,Denver,ABA,1976,False
1216,Jimmy Foster,Denver,ABA,1976,False
1217,Gus Gerard,Denver,ABA,1976,False
1218,Dan Issel,Denver,ABA,1976,False
1219,Bobby Jones,Denver,ABA,1976,False
1220,Ralph Simpson,Denver,ABA,1976,False
1221,Claude Terry,Denver,ABA,1976,False
1222,David Thompson,Denver,ABA,1976,False
1223,Monte Towe,Denver,ABA,1976,False
1224,Chuck Williams,Denver,ABA,1976,False
1225,Dave Bing,East,NBA,1976,False
1226,Doug Collins,East,NBA,1976,False
1227,Dave Cowens,East,NBA,1976,False
1228,John Drew,East,NBA,1976,False
1229,Walt Frazier,East,NBA,1976,False
1230,John Havlicek,East,NBA,1976,False
1231,Elvin Hayes,East,NBA,1976,False
1232,Bob McAdoo,East,NBA,1976,False
1233,George McGinnis,East,NBA,1976,False
1234,Randy Smith,East,NBA,1976,False
1235,Rudy Tomjanovich,East,NBA,1976,False
1236,Jo Jo White,East,NBA,1976,False
1237,Kareem Abdul-Jabbar,West,NBA,1976,False
1238,Alvan Adams,West,NBA,1976,False
1239,Tiny Archibald,West,NBA,1976,False
1240,Rick Barry,West,NBA,1976,False
1241,Fred Brown,West,NBA,1976,False
1242,Bob Dandridge,West,NBA,1976,False
1243,Curtis Rowe,West,NBA,1976,False
1244,Phil Smith,West,NBA,1976,False
1245,Norm Van Lier,West,NBA,1976,False
1246,Scott Wedman,West,NBA,1976,False
1247,Jamaal Wilkes,West,NBA,1976,False
1248,Brian Winters,West,NBA,1976,False
1249,Marvin Barnes,East,ABA,1975,False
1250,Louie Dampier,East,ABA,1975,False
1251,Julius Erving,East,ABA,1975,False
1252,Artis Gilmore,East,ABA,1975,False
1253,Dan Issel,East,ABA,1975,False
1254,Stew Johnson,East,ABA,1975,False
1255,Larry Kenon,East,ABA,1975,False
1256,Freddie Lewis,East,ABA,1975,False
1257,Billy Paultz,East,ABA,1975,False
1258,Brian Taylor,East,ABA,1975,False
1259,Dave Twardzik,East,ABA,1975,False
1260,Ron Boone,West,ABA,1975,False
1261,Mack Calvin,West,ABA,1975,False
1262,George Gervin,West,ABA,1975,False
1263,Mike Green,West,ABA,1975,False
1264,Caldwell Jones,West,ABA,1975,False
1265,Moses Malone,West,ABA,1975,False
1266,George McGinnis,West,ABA,1975,False
1267,Swen Nater,West,ABA,1975,False
1268,James Silas,West,ABA,1975,False
1269,Ralph Simpson,West,ABA,1975,False
1270,Phil Chenier,East,NBA,1975,False
1271,Dave Cowens,East,NBA,1975,False
1272,Walt Frazier,East,NBA,1975,False
1273,John Havlicek,East,NBA,1975,False
1274,Elvin Hayes,East,NBA,1975,False
1275,Bob McAdoo,East,NBA,1975,False
1276,Steve Mix,East,NBA,1975,False
1277,Earl Monroe,East,NBA,1975,False
1278,Paul Silas,East,NBA,1975,False
1279,Rudy Tomjanovich,East,NBA,1975,False
1280,Wes Unseld,East,NBA,1975,False
1281,Jo Jo White,East,NBA,1975,False
1282,Kareem Abdul-Jabbar,West,NBA,1975,False
1283,Tiny Archibald,West,NBA,1975,False
1284,Rick Barry,West,NBA,1975,False
1285,Dave Bing,West,NBA,1975,False
1286,Bob Dandridge,West,NBA,1975,False
1287,Gail Goodrich,West,NBA,1975,False
1288,Spencer Haywood,West,NBA,1975,False
1289,Sam Lacey,West,NBA,1975,False
1290,Bob Lanier,West,NBA,1975,False
1291,Jim Price,West,NBA,1975,False
1292,Charlie Scott,West,NBA,1975,False
1293,Sidney Wicks,West,NBA,1975,False
1294,Mack Calvin,East,ABA,1974,False
1295,Louie Dampier,East,ABA,1974,False
1296,Jim Eakins,East,ABA,1974,False
1297,Julius Erving,East,ABA,1974,False
1298,George Gervin,East,ABA,1974,False
1299,Artis Gilmore,East,ABA,1974,False
1300,Dan Issel,East,ABA,1974,False
1301,Larry Kenon,East,ABA,1974,False
1302,Ted McClain,East,ABA,1974,False
1303,George Thompson,East,ABA,1974,False
1304,Ron Boone,West,ABA,1974,False
1305,Mel Daniels,West,ABA,1974,False
1306,Warren Jabali,West,ABA,1974,False
1307,Stew Johnson,West,ABA,1974,False
1308,Jimmy Jones,West,ABA,1974,False
1309,Rich Jones,West,ABA,1974,False
1310,George McGinnis,West,ABA,1974,False
1311,Swen Nater,West,ABA,1974,False
1312,Ralph Simpson,West,ABA,1974,False
1313,Willie Wise,West,ABA,1974,False
1314,Austin Carr,East,NBA,1974,False
1315,Phil Chenier,East,NBA,1974,False
1316,Dave Cowens,East,NBA,1974,False
1317,Dave DeBusschere,East,NBA,1974,False
1318,Walt Frazier,East,NBA,1974,False
1319,John Havlicek,East,NBA,1974,False
1320,Elvin Hayes,East,NBA,1974,False
1321,Lou Hudson,East,NBA,1974,False
1322,Pete Maravich,East,NBA,1974,False
1323,Bob McAdoo,East,NBA,1974,False
1324,Rudy Tomjanovich,East,NBA,1974,False
1325,Jo Jo White,East,NBA,1974,False
1326,Kareem Abdul-Jabbar,West,NBA,1974,False
1327,Rick Barry,West,NBA,1974,False
1328,Dave Bing,West,NBA,1974,False
1329,Gail Goodrich,West,NBA,1974,False
1330,Spencer Haywood,West,NBA,1974,False
1331,Bob Lanier,West,NBA,1974,False
1332,Geoff Petrie,West,NBA,1974,False
1333,Charlie Scott,West,NBA,1974,False
1334,Nate Thurmond,West,NBA,1974,False
1335,Norm Van Lier,West,NBA,1974,False
1336,Chet Walker,West,NBA,1974,False
1337,Jerry West,West,NBA,1974,True
1338,Sidney Wicks,West,NBA,1974,False
1339,Joe Caldwell,East,ABA,1973,False
1340,Mack Calvin,East,ABA,1973,False
1341,Billy Cunningham,East,ABA,1973,False
1342,Louie Dampier,East,ABA,1973,False
1343,Julius Erving,East,ABA,1973,False
1344,Artis Gilmore,East,ABA,1973,False
1345,Dan Issel,East,ABA,1973,False
1346,Bill Melchionni,East,ABA,1973,False
1347,Billy Paultz,East,ABA,1973,False
1348,George Thompson,East,ABA,1973,False
1349,Zelmo Beaty,West,ABA,1973,False
1350,Mel Daniels,West,ABA,1973,False
1351,Warren Jabali,West,ABA,1973,False
1352,Stew Johnson,West,ABA,1973,False
1353,Jimmy Jones,West,ABA,1973,False
1354,Rich Jones,West,ABA,1973,False
1355,George McGinnis,West,ABA,1973,False
1356,Ralph Simpson,West,ABA,1973,False
1357,Chuck Williams,West,ABA,1973,False
1358,Willie Wise,West,ABA,1973,False
1359,John Block,East,NBA,1973,False
1360,Bill Bradley,East,NBA,1973,False
1361,Dave Cowens,East,NBA,1973,False
1362,Dave DeBusschere,East,NBA,1973,False
1363,Walt Frazier,East,NBA,1973,False
1364,John Havlicek,East,NBA,1973,False
1365,Elvin Hayes,East,NBA,1973,False
1366,Lou Hudson,East,NBA,1973,False
1367,Bob Kauffman,East,NBA,1973,False
1368,Pete Maravich,East,NBA,1973,False
1369,Jack Marin,East,NBA,1973,False
1370,Wes Unseld,East,NBA,1973,False
1371,Jo Jo White,East,NBA,1973,False
1372,Lenny Wilkens,East,NBA,1973,False
1373,Kareem Abdul-Jabbar,West,NBA,1973,True
1374,Tiny Archibald,West,NBA,1973,False
1375,Rick Barry,West,NBA,1973,True
1376,Dave Bing,West,NBA,1973,False
1377,Wilt Chamberlain,West,NBA,1973,False
1378,Bob Dandridge,West,NBA,1973,False
1379,Gail Goodrich,West,NBA,1973,False
1380,Connie Hawkins,West,NBA,1973,False
1381,Spencer Haywood,West,NBA,1973,False
1382,Bob Lanier,West,NBA,1973,False
1383,Bob Love,West,NBA,1973,False
1384,Charlie Scott,West,NBA,1973,False
1385,Nate Thurmond,West,NBA,1973,False
1386,Chet Walker,West,NBA,1973,False
1387,Jerry West,West,NBA,1973,False
1388,Sidney Wicks,West,NBA,1973,False
1389,Rick Barry,East,ABA,1972,False
1390,John Brisker,East,ABA,1972,False
1391,Mack Calvin,East,ABA,1972,False
1392,Louie Dampier,East,ABA,1972,False
1393,Julius Erving,East,ABA,1972,False
1394,Artis Gilmore,East,ABA,1972,False
1395,Dan Issel,East,ABA,1972,False
1396,Warren Jabali,East,ABA,1972,False
1397,Jim McDaniels,East,ABA,1972,False
1398,Bill Melchionni,East,ABA,1972,False
1399,Charlie Scott,East,ABA,1972,False
1400,George Thompson,East,ABA,1972,False
1401,Zelmo Beaty,West,ABA,1972,False
1402,Arthur Becker,West,ABA,1972,False
1403,Roger Brown,West,ABA,1972,False
1404,Glen Combs,West,ABA,1972,False
1405,Mel Daniels,West,ABA,1972,False
1406,Donnie Freeman,West,ABA,1972,False
1407,Steve Jones,West,ABA,1972,False
1408,Wil Jones,West,ABA,1972,False
1409,Wendell Ladner,West,ABA,1972,False
1410,Freddie Lewis,West,ABA,1972,False
1411,Ralph Simpson,West,ABA,1972,False
1412,Willie Wise,West,ABA,1972,False
1413,Butch Beard,East,NBA,1972,False
1414,Archie Clark,East,NBA,1972,False
1415,Dave Cowens,East,NBA,1972,False
1416,Billy Cunningham,East,NBA,1972,False
1417,Dave DeBusschere,East,NBA,1972,False
1418,Walt Frazier,East,NBA,1972,False
1419,John Havlicek,East,NBA,1972,False
1420,Lou Hudson,East,NBA,1972,False
1421,John Johnson,East,NBA,1972,False
1422,Bob Kauffman,East,NBA,1972,False
1423,Jack Marin,East,NBA,1972,False
1424,Wes Unseld,East,NBA,1972,False
1425,Tom Van Arsdale,East,NBA,1972,False
1426,Jo Jo White,East,NBA,1972,False
1427,Kareem Abdul-Jabbar,West,NBA,1972,False
1428,Wilt Chamberlain,West,NBA,1972,False
1429,Gail Goodrich,West,NBA,1972,False
1430,Connie Hawkins,West,NBA,1972,False
1431,Elvin Hayes,West,NBA,1972,False
1432,Spencer Haywood,West,NBA,1972,False
1433,Bob Lanier,West,NBA,1972,False
1434,Bob Love,West,NBA,1972,False
1435,Oscar Robertson,West,NBA,1972,False
1436,Cazzie Russell,West,NBA,1972,False
1437,Paul Silas,West,NBA,1972,False
1438,Jimmy Walker,West,NBA,1972,False
1439,Jerry West,West,NBA,1972,False
1440,Sidney Wicks,West,NBA,1972,False
1441,Rick Barry,East,ABA,1971,False
1442,John Brisker,East,ABA,1971,False
1443,Joe Caldwell,East,ABA,1971,False
1444,Mack Calvin,East,ABA,1971,False
1445,George Carter,East,ABA,1971,False
1446,Dan Issel,East,ABA,1971,False
1447,Neil Johnson,East,ABA,1971,False
1448,Larry Jones,East,ABA,1971,False
1449,Mike Lewis,East,ABA,1971,False
1450,Bill Melchionni,East,ABA,1971,False
1451,Cincinnatus Powell,East,ABA,1971,False
1452,Charlie Scott,East,ABA,1971,False
1453,Zelmo Beaty,West,ABA,1971,False
1454,Ron Boone,West,ABA,1971,False
1455,Roger Brown,West,ABA,1971,False
1456,Glen Combs,West,ABA,1971,False
1457,Mel Daniels,West,ABA,1971,False
1458,Donnie Freeman,West,ABA,1971,False
1459,Jimmy Jones,West,ABA,1971,False
1460,Steve Jones,West,ABA,1971,False
1461,Julius Keye,West,ABA,1971,False
1462,Wendell Ladner,West,ABA,1971,False
1463,Bob Netolicky,West,ABA,1971,False
1464,Red Robbins,West,ABA,1971,False
1465,Billy Cunningham,East,NBA,1971,False
1466,Dave DeBusschere,East,NBA,1971,False
1467,Walt Frazier,East,NBA,1971,False
1468,Johnny Green,East,NBA,1971,False
1469,John Havlicek,East,NBA,1971,False
1470,Lou Hudson,East,NBA,1971,False
1471,Gus Johnson,East,NBA,1971,False
1472,John Johnson,East,NBA,1971,False
1473,Bob Kauffman,East,NBA,1971,False
1474,Earl Monroe,East,NBA,1971,False
1475,Willis Reed,East,NBA,1971,False
1476,Wes Unseld,East,NBA,1971,False
1477,Tom Van Arsdale,East,NBA,1971,False
1478,Jo Jo White,East,NBA,1971,False
1479,Kareem Abdul-Jabbar,West,NBA,1971,False
1480,Dave Bing,West,NBA,1971,False
1481,Wilt Chamberlain,West,NBA,1971,False
1482,Connie Hawkins,West,NBA,1971,False
1483,Elvin Hayes,West,NBA,1971,False
1484,Bob Love,West,NBA,1971,False
1485,Jerry Lucas,West,NBA,1971,False
1486,Jeff Mullins,West,NBA,1971,False
1487,Geoff Petrie,West,NBA,1971,False
1488,Oscar Robertson,West,NBA,1971,False
1489,Dick Van Arsdale,West,NBA,1971,False
1490,Chet Walker,West,NBA,1971,False
1491,Jerry West,West,NBA,1971,False
1492,Lenny Wilkens,West,NBA,1971,False
1493,Roger Brown,East,ABA,1970,False
1494,Darel Carrier,East,ABA,1970,False
1495,Louie Dampier,East,ABA,1970,False
1496,Mel Daniels,East,ABA,1970,False
1497,Donnie Freeman,East,ABA,1970,False
1498,Mike Lewis,East,ABA,1970,False
1499,Doug Moe,East,ABA,1970,False
1500,Gene Moore,East,ABA,1970,False
1501,Bob Netolicky,East,ABA,1970,False
1502,Levern Tart,East,ABA,1970,False
1503,Bob Verga,East,ABA,1970,False
1504,Charlie Williams,East,ABA,1970,False
1505,Rick Barry,West,ABA,1970,False
1506,John Beasley,West,ABA,1970,False
1507,Larry Brown,West,ABA,1970,False
1508,Glen Combs,West,ABA,1970,False
1509,Warren Davis,West,ABA,1970,False
1510,Gerald Govan,West,ABA,1970,False
1511,Spencer Haywood,West,ABA,1970,False
1512,Warren Jabali,West,ABA,1970,False
1513,Jimmy Jones,West,ABA,1970,False
1514,Larry Jones,West,ABA,1970,False
1515,Steve Jones,West,ABA,1970,False
1516,Cincinnatus Powell,West,ABA,1970,False
1517,Red Robbins,West,ABA,1970,True
1518,Kareem Abdul-Jabbar,East,NBA,1970,False
1519,Billy Cunningham,East,NBA,1970,False
1520,Dave DeBusschere,East,NBA,1970,False
1521,Walt Frazier,East,NBA,1970,False
1522,Hal Greer,East,NBA,1970,False
1523,John Havlicek,East,NBA,1970,False
1524,Gus Johnson,East,NBA,1970,False
1525,Willis Reed,East,NBA,1970,False
1526,Oscar Robertson,East,NBA,1970,False
1527,Flynn Robinson,East,NBA,1970,False
1528,Tom Van Arsdale,East,NBA,1970,False
1529,Jimmy Walker,East,NBA,1970,False
1530,Elgin Baylor,West,NBA,1970,False
1531,Bill Bridges,West,NBA,1970,False
1532,Joe Caldwell,West,NBA,1970,False
1533,Connie Hawkins,West,NBA,1970,False
1534,Elvin Hayes,West,NBA,1970,False
1535,Lou Hudson,West,NBA,1970,False
1536,Jeff Mullins,West,NBA,1970,False
1537,Bob Rule,West,NBA,1970,False
1538,Nate Thurmond,West,NBA,1970,True
1539,Dick Van Arsdale,West,NBA,1970,False
1540,Chet Walker,West,NBA,1970,False
1541,Jerry West,West,NBA,1970,False
1542,Lenny Wilkens,West,NBA,1970,False
1543,Darel Carrier,East,ABA,1969,False
1544,Louie Dampier,East,ABA,1969,False
1545,Mel Daniels,East,ABA,1969,False
1546,Donnie Freeman,East,ABA,1969,False
1547,Les Hunter,East,ABA,1969,False
1548,Goose Ligon,East,ABA,1969,False
1549,Bob Netolicky,East,ABA,1969,False
1550,Walter Simon,East,ABA,1969,False
1551,Skip Thoren,East,ABA,1969,False
1552,Trooper Washington,East,ABA,1969,False
1553,Charlie Williams,East,ABA,1969,False
1554,Rick Barry,West,ABA,1969,False
1555,John Beasley,West,ABA,1969,False
1556,Byron Beck,West,ABA,1969,False
1557,Larry Brown,West,ABA,1969,False
1558,Warren Davis,West,ABA,1969,False
1559,Wayne Hightower,West,ABA,1969,False
1560,Mervin Jackson,West,ABA,1969,False
1561,Jimmy Jones,West,ABA,1969,False
1562,Larry Jones,West,ABA,1969,False
1563,Doug Moe,West,ABA,1969,False
1564,Red Robbins,West,ABA,1969,False
1565,Willie Somerset,West,ABA,1969,False
1566,Dave Bing,East,NBA,1969,False
1567,Billy Cunningham,East,NBA,1969,False
1568,Hal Greer,East,NBA,1969,False
1569,John Havlicek,East,NBA,1969,False
1570,Gus Johnson,East,NBA,1969,False
1571,Jerry Lucas,East,NBA,1969,False
1572,Jon McGlocklin,East,NBA,1969,False
1573,Earl Monroe,East,NBA,1969,False
1574,Willis Reed,East,NBA,1969,False
1575,Oscar Robertson,East,NBA,1969,False
1576,Bill Russell,East,NBA,1969,False
1577,Wes Unseld,East,NBA,1969,False
1578,Elgin Baylor,West,NBA,1969,False
1579,Joe Caldwell,West,NBA,1969,False
1580,Wilt Chamberlain,West,NBA,1969,False
1581,Gail Goodrich,West,NBA,1969,False
1582,Elvin Hayes,West,NBA,1969,False
1583,Lou Hudson,West,NBA,1969,False
1584,Don Kojis,West,NBA,1969,False
1585,Rudy LaRusso,West,NBA,1969,False
1586,Jeff Mullins,West,NBA,1969,False
1587,Jerry Sloan,West,NBA,1969,False
1588,Dick Van Arsdale,West,NBA,1969,False
1589,Jerry West,West,NBA,1969,True
1590,Lenny Wilkens,West,NBA,1969,False
