,player,team,lg,season,replaced
626,Chris Webber,West,NBA,2001,False
627,Ray Allen,East,NBA,2000,False
628,Vince Carter,East,NBA,2000,False
629,Dale Davis,East,NBA,2000,False
630,Grant Hill,East,NBA,2000,False
631,Allan Houston,East,NBA,2000,False
632,Allen Iverson,East,NBA,2000,False
633,Eddie Jones,East,NBA,2000,False
634,Reggie Miller,East,NBA,2000,False
635,Alonzo Mourning,East,NBA,2000,False
636,Dikembe Mutombo,East,NBA,2000,False
637,Glenn Robinson,East,NBA,2000,False
638,Jerry Stackhouse,East,NBA,2000,False
639,Kobe Bryant,West,NBA,2000,False
640,Tim Duncan,West,NBA,2000,False
641,Michael Finley,West,NBA,2000,False
642,Kevin Garnett,West,NBA,2000,False
643,Jason Kidd,West,NBA,2000,False
644,Karl Malone,West,NBA,2000,False
645,Shaquille O'Neal,West,NBA,2000,False
646,Gary Payton,West,NBA,2000,False
647,David Robinson,West,NBA,2000,False
648,John Stockton,West,NBA,2000,False
649,Rasheed Wallace,West,NBA,2000,False
650,Chris Webber,West,NBA,2000,False
651,Anfernee Hardaway,East,NBA,1998,False
652,Tim Hardaway,East,NBA,1998,False
653,Grant Hill,East,NBA,1998,False
654,Michael Jordan,East,NBA,1998,False
655,Shawn Kemp,East,NBA,1998,False
656,Reggie Miller,East,NBA,1998,False
657,Dikembe Mutombo,East,NBA,1998,False
658,Glen Rice,East,NBA,1998,False
659,Steve Smith,East,NBA,1998,False
660,Rik Smits,East,NBA,1998,False
661,Antoine Walker,East,NBA,1998,False
662,Jayson Williams,East,NBA,1998,False
663,Vin Baker,West,NBA,1998,False
664,Kobe Bryant,West,NBA,1998,False
665,Tim Duncan,West,NBA,1998,False
666,Kevin Garnett,West,NBA,1998,False
667,Eddie Jones,West,NBA,1998,False
668,Jason Kidd,West,NBA,1998,False
669,Karl Malone,West,NBA,1998,False
670,Shaquille O'Neal,West,NBA,1998,False
671,Gary Payton,West,NBA,1998,False
672,Mitch Richmond,West,NBA,1998,False
673,David Robinson,West,NBA,1998,False
674,Nick Van Exel,West,NBA,1998,False
675,Vin Baker,East,NBA,1997,False
676,Terrell Brandon,East,NBA,1997,False
677,Joe Dumars,East,NBA,1997,False
678,Patrick Ewing,East,NBA,1997,True
679,Anfernee Hardaway,East,NBA,1997,False
680,Tim Hardaway,East,NBA,1997,False
681,Grant Hill,East,NBA,1997,False
682,Michael Jordan,East,NBA,1997,False
683,Christian Laettner,East,NBA,1997,False
684,Alonzo Mourning,East,NBA,1997,True
685,Dikembe Mutombo,East,NBA,1997,False
686,Scottie Pippen,East,NBA,1997,False
687,Glen Rice,East,NBA,1997,False
688,Chris Webber,East,NBA,1997,False
689,Charles Barkley,West,NBA,1997,True
690,Clyde Drexler,West,NBA,1997,True
691,Kevin Garnett,West,NBA,1997,False
692,Chris Gatling,West,NBA,1997,False
693,Tom Gugliotta,West,NBA,1997,False
694,Eddie Jones,West,NBA,1997,False
695,Shawn Kemp,West,NBA,1997,False
696,Karl Malone,West,NBA,1997,False
697,Hakeem Olajuwon,West,NBA,1997,False
698,Shaquille O'Neal,West,NBA,1997,True
699,Gary Payton,West,NBA,1997,False
700,Mitch Richmond,West,NBA,1997,False
701,Detlef Schrempf,West,NBA,1997,False
702,Latrell Sprewell,West,NBA,1997,False
703,John Stockton,West,NBA,1997,False
704,Vin Baker,East,NBA,1996,False
705,Terrell Brandon,East,NBA,1996,False
706,Patrick Ewing,East,NBA,1996,False
707,Anfernee Hardaway,East,NBA,1996,False
708,Grant Hill,East,NBA,1996,False
709,Juwan Howard,East,NBA,1996,False
710,Michael Jordan,East,NBA,1996,False
711,Reggie Miller,East,NBA,1996,False
712,Alonzo Mourning,East,NBA,1996,False
713,Shaquille O'Neal,East,NBA,1996,False
714,Scottie Pippen,East,NBA,1996,False
715,Glen Rice,East,NBA,1996,False
716,Charles Barkley,West,NBA,1996,False
717,Clyde Drexler,West,NBA,1996,False
718,Sean Elliott,West,NBA,1996,False
719,Shawn Kemp,West,NBA,1996,False
720,Jason Kidd,West,NBA,1996,False
721,Karl Malone,West,NBA,1996,False
722,Dikembe Mutombo,West,NBA,1996,False
723,Hakeem Olajuwon,West,NBA,1996,False
724,Gary Payton,West,NBA,1996,False
725,Mitch Richmond,West,NBA,1996,False
726,David Robinson,West,NBA,1996,False
727,John Stockton,West,NBA,1996,False
728,Vin Baker,East,NBA,1995,False
729,Dana Barros,East,NBA,1995,False
730,Joe Dumars,East,NBA,1995,False
731,Patrick Ewing,East,NBA,1995,False
732,Anfernee Hardaway,East,NBA,1995,False
733,Grant Hill,East,NBA,1995,False
734,Tyrone Hill,East,NBA,1995,False
